Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Deployment ,KAN-27,10092,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:15 PM,02/Feb/26 10:20 PM,02/Feb/26 9:47 PM,02/Feb/26 10:20 PM,30/Mar/26 12:00 AM,0,Deployment phase the last step of the Power BI data analytics project.,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,KAN-24,,,,0|i0009b:,27/Mar/26 12:00 AM,,,,,,Done,02/Feb/26 10:20 PM
Test dashboard functionality,KAN-26,10091,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:15 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i00093:,,,,10087,KAN-24,Testing and Validation ,Done,02/Feb/26 10:24 PM
Test data accuracy,KAN-25,10089,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:15 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0008v:,,,,10087,KAN-24,Testing and Validation ,Done,02/Feb/26 10:24 PM
Testing and Validation ,KAN-24,10087,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:14 PM,02/Feb/26 10:20 PM,02/Feb/26 9:46 PM,02/Feb/26 10:20 PM,26/Mar/26 12:00 AM,0,"Testing and Validation phase of the Power BI data analytics project, including test data accuracy and dashboard functionality.",,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,KAN-21,KAN-27,,,0|i0008n:,20/Mar/26 12:00 AM,,,,,,Done,02/Feb/26 10:20 PM
Dashboard UI,KAN-23,10086,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:14 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0008f:,,,,10082,KAN-21,Development and Implementation ,Done,02/Feb/26 10:24 PM
Data processing,KAN-22,10084,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:13 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i00087:,,,,10082,KAN-21,Development and Implementation ,Done,02/Feb/26 10:24 PM
Development and Implementation ,KAN-21,10082,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:13 PM,02/Feb/26 10:21 PM,02/Feb/26 9:45 PM,02/Feb/26 10:21 PM,19/Mar/26 12:00 AM,0,"Planning phase of the Power BI data analytics project, including data processing and dashboard UI.",,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,KAN-18,KAN-24,,,0|i0007z:,09/Mar/26 12:00 AM,,,,,,Done,02/Feb/26 10:21 PM
Select visualization tools,KAN-20,10081,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:12 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0007r:,,,,10077,KAN-18,Dashboard Design ,Done,02/Feb/26 10:24 PM
Wireframe dashboard,KAN-19,10079,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:12 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0007j:,,,,10077,KAN-18,Dashboard Design ,Done,02/Feb/26 10:24 PM
Dashboard Design ,KAN-18,10077,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:12 PM,02/Feb/26 10:21 PM,02/Feb/26 9:45 PM,02/Feb/26 10:21 PM,06/Mar/26 12:00 AM,0,"Dashboard Design phase of the Power BI data analytics project, including wireframe dashboard and visualization tools.",,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,KAN-15,KAN-21,,,0|i0007b:,04/Mar/26 12:00 AM,,,,,,Done,02/Feb/26 10:21 PM
